,titles,ratings,reviews,dates,replies,reply_dates
10,Attente réponse stage en parapharmacie,1,"Ma fille, étudiante en bts esthétique cosmétique ,est allée déposer un CV et une lettre de motivation pour une demande de stage à la parapharmacie d Auchan Louvroil
Au bout d environ 5 semaines, nous nous sommes présentées à la parapharmacie pour une éventuelle réponse. Le personnel très agréable nous répond que le responsable n est pas là mais qu il contactera ma fille le lendemain(un samedi!!)
Ma fille n a pas reçu d appel
Une semaine passe et nous appelons la parapharmacie pour une éventuelle réponse.  La vendeuse très agréable, à l écoute,  nous signale que le responsable était en vacances( tiens bizarre il devait contacter ma fille!!) Mais nous signale que lundi ou mardi au plus tard, ma fille sera contactée 
Nous sommes mardi 17h30 et toujours pas de nouvelles 
Nous contactons la parapharmacie et après avoir attendu que le responsable réponde,  nous avons la vendeuse qui nous donne une réponse négative sans même avoir donné le nom de ma fille
Je ne demandais qu une réponse même un nom.
Nous nous plaindrons que les jeunes ne sont pas investis dans leur futur mais quand je vois l importance que donne ce responsable aux demandes de stages de futur professionnel : bravo
Je ne mettrais plus un pied chez Auchan Louvroil",2023-02-28T19:10:51.000Z,,
11,On m a accusé d avoir volé un rouge a…,1,A Auchan Semecourt On m a accusé d avoir volé un rouge a lèvre alors que je n ai rien volé on m à interpeller et emmener au poste de sécurité une honte je suis cliente depuis plusieurs années je dépense plus 200 e par semaine un jeune vigile m à soit disant vu faire tomber un rouge à lèvre en caisse de ma poche j avais rien je pense que j ai était piégé par deux jeune derrière moi ils ont fait diversion et les vigile m’on interpellé à 3 il m’on vraiment  manqué de respect je trouve sa honteux il ferait mieux de surveiller les vrai voleurs,2023-02-15T05:54:03.000Z,"Bonsoir Marjorie,",2023-02-25T18:00:02.000Z
12,Réponse à Omar d'Auchan.,1,"Réponse à Omar d'Auchan.

Nous avons nous même acheter les pièces manquantes de notre meuble, que vous avez refusé de nous renvoyer, et de nous rembourser. 
Nous perdons trop de temps avec les problèmes SAV car vous navez plus aucune co sideration du client. Il n'y a que le profit qui compte... elle est loin la société où le client était roi... ou il faut être fortuné pour être mieux servi.",2023-02-11T16:24:22.000Z,"Bonsoir,",2023-02-25T17:46:43.000Z
13,Produits quasi perimés,3,"Je commande régulièrement chez Auchan car c'est les seuls qui proposent la livraison chez moi, cependant j'ai toujours le même problème avec eux : ils mettent des produits quasi périmés qui laissent à peine quelques jours pour être consommés et au prix fort donc à la limite de la légalité j'imagine. C'est se moquer des clients d'agir ainsi. Derniere livraison : bananes noires pourries. Je n'ai pas encore eu le temps de verifier les dates de péremption des autres produits mais c'est systematique, à chaque commande j'ai quelques produits concernés. Anormal.",2023-02-13T15:51:45.000Z,"Bonjour Malika,",2023-02-25T17:55:06.000Z
14,En colère !!,2,"En colère !!! Quand allez vous arrêter de mettre du nitrates de potassium dans votre charcuterie ?!?!?! 
C'est cancérigène !!!!!",2023-02-23T20:34:47.000Z,,
15,Canapé acheté sur Auchan.fr le 13…,1,"Canapé acheté sur Auchan.fr le 13 Janvier. 
Reçu il y a bientôt 2 semines avec les mauvaises pièces et donc impossible à monter. Malgré la prise en charge de mon dossier par le service client je n'ai toujours pas de nouvelles. Mon salon sert actuellement d'entreprosage de colis d'un canapé inutilisable.
D'autres structures en ligne sont beaucoup plus efficace.
A jamais sur Auchan.fr",2023-02-08T20:34:17.000Z,"Bonjour,",2023-02-25T17:25:02.000Z
16,Super,5,"La commande c est bien passé ( 2 en l espace d un mois ).

Tarif plus attractif que la concurrence dans les 2 cas et surtout en stock.

Livraison dans la magasin Viry-Noureuil , simple et personnel agréable.",2023-02-16T10:54:28.000Z,"Bonjour Aurore,",2023-02-25T18:19:45.000Z
17,Commande du Jeu Hogwart Legacy pour le…,1,"Commande du Jeu Hogwart Legacy pour le 10 février. Pas de nouvelle le 13, obligé d’appeler le sav qui me signale un énorme retard et qui ne me propose rien en contre partie du désagrément. 

Commande annulé.",2023-02-15T13:28:48.000Z,"Bonjour Clément,",2023-02-25T18:09:33.000Z
18,Auchan Semecourt,1,"Auchan Semecourt, lors de la venue de Maître Gims samedi 4 février 2023. Sécurité TRÈS INEFFICACE. Tous le monde doublait ceux qui étaient dans la file. Gims en retard de près de 40min, je suis arrivé avec ma femme et ma fille qui l'adorais a 16h15 ,déjà queue immense . Il arrive a 17h35 . Lorsque l'on arrive au niveau des barrières en vrac , les gendarmes nous bloquent et plus personne n'a pas pu passer pour une dédicace ""18h10"". Du coup vraiment TRÈS DÉCUS. Ma fille le déteste a présent, surprise fichue . Je ne les remercie pas. 😡😡😡",2023-02-06T16:29:57.000Z,"Bonjour Dany,",2023-02-25T15:32:31.000Z
19,Réception machine dans un état lamentable,1,"J'ai envoyé une machine à café au service après-vente, elle m'a été rendu réparé bien-sûr mais dans un état de saleté indigne d'un service après-vente. C'est vraiment une honte!!! J'ai les preuves en photos et vidéos au cas où. Honnêtement je n'avais jamais vu un tel je men foutisme pour la propreté, pour un service après-vente.",2023-02-02T17:38:53.000Z,"Bonjour  Yannick,",2023-02-06T14:40:05.000Z
20,Aucun professionnalisme …,1,"Suite à un paiement de 250€ prélevé 2 fois à Auchan Béziers, même pas un geste commercial alors que c'était le 30 ce qui a engranger des prélèvements refusés, plus d'argent sur le compte pendant une semaine (le temps de remboursement) et point.
C'est pas professionnel",2023-02-06T09:34:41.000Z,Bonjour et merci de votre alerte concernant les prélèvements.,2023-02-06T14:24:25.000Z
21,Déception de la part de auchan,1,Déception de la part de auchan. J ai voulu acheté frigo beko plus cher chez auchan. Plusieurs personnes de chez auchan m ont dit qu il s alignerait sur le prix après vérification de la capture d écran mais après avoir reçu la capture d'écran ils ont changé d avis ce qui n est pas honnête de la part de auchan.  Auchan ne répond plus à mes appels J'envisage de prendre une association de consommateurs et alerter les réseaux sociaux déçu d auchan,2023-02-01T18:00:58.000Z,"Bonjour,",2023-02-06T14:46:08.000Z
22,J'ai acheté pour 800€ d'électroménager …,1,"J'ai acheté en ligne pour 800€ d'électroménager (un réfrigérateur + une cuisiniere) 
Les livreurs auraient dû déballer, installer les articles et evacuer les emballages, or, cela n'a pas été fait ! 
En deballant le refrigerateur, j'ai constaté un enfoncement du côté latéral. Le frigo a reçu un choc, probablement lors de la livraison. Si les livreurs avaient fait correctement leur travail, j'aurai vu le choc et aurai refusé le frigo lors de la livraison. 
Je contacte le service client pour demander un échange, on me propose 15€ en cagnotte sur ma carte fidélité!! Un scandale !! Insistante par email en demandant tout simplement un échange, ce qui me semble legitime, le service client ne prend même plus la peine de me répondre... Je suis outrée !!!",2023-02-11T19:32:16.000Z,"Bonjour,",2023-02-25T17:52:25.000Z
23,Bi1 enseigne de la marque Auchan,1,"Bi1 enseigne de la marque Auchan, St Gengoux le National 71. 
Que dire: 
- c’est cher voir très cher. 
- pas de mesure anti-gaspi donc pas légal 
- les produits sont limites au niveau date de péremption 
- le pain est pas bon
- les caissières au raz des pâquerettes ( sauf pour les plus jeunes que je trouve adorables )
- des erreurs d’étiquetages en défaveur du client
- certains jours on se croit en Biélorussie tellement il y a des trous dans les rayons
Que dire d’autre…: 
- la viande sous vide est cher et souvent impropre à la consommation 
- le rayon traiteur qui est cher, pas frais, avec un boucher pas sympa ( je peux vous dire qu’il porte des lunettes j’espère qu’il se reconnaîtra 😉😗😗😗)
- 2 rayons entiers d’alcools chers qui s’étalent sur 10 m, vive l’alcool !!!
- la bouffe pour animaux qui est cher
- les pâtisseries qui est très cher
Enfin bref c’est l’entubage maximal.
En plus j’apprends que vous approvisionner les troupes russes en bouffes et cela gratuitement. J’ai envie de vous vomir dessus et encore je suis gentil.
En clair et ce sera le mot de la fin… BOYCOTT!!!!",2023-02-21T02:27:20.000Z,"Bonjour,",2023-02-25T19:42:20.000Z
24,"Précommande en retard, à éviter",1,"Précommande de jeu vidéo catastrophique.
Livraison en retard et aucune compensation.

Je ne commanderai plus jamais de précommande chez Auchan et je déconseillerai à tout le monde.",2023-02-10T21:56:22.000Z,"Bonjour Tom,",2023-02-25T17:38:03.000Z
25,Cette entreprise est restée en Russie…,1,Cette entreprise est restée en Russie malgré les crimes de guerre. Elle est même accusée de collaborer avec l'armée.,2023-02-19T14:21:12.000Z,"Bonjour,",2023-02-25T19:21:44.000Z
26,Une catastrophe,1,"Une catastrophe, je précommande un jeux en décembre pour un retrait le 7 fevrier et finalement le 9 toujours pas de colis.
Service client incapable et aucun dédommagement proposé",2023-02-09T17:37:31.000Z,"Bonjour Benjamin,",2023-02-25T17:29:20.000Z
27,Bonjour je suis cliente depuis des…,4,Bonjour je suis cliente depuis des années chez Auchan Grenoble Stalingrad je trouve que le magasin se dégrade le personnel n'a plus le droit de parler avec les clients ce qui est bien dommage  les rayons sont vides les hôtesse de caisse ne sourient plus à force vous faite fuir la clientèle,2023-01-27T11:36:13.000Z,"Bonsoir Marie,",2023-02-03T16:13:49.000Z
28,J'ai acheté un sèche linge il y a moins…,1,"J'ai acheté un sèche linge il y a moins de deux ans, j'ai eu panne sur panne , le service sav incapable de le réparer correctement,il faisait un bruit du tonnerre du diable , aujourd'hui j'appelle une énième fois car il es de nouveau en panne, on me dis sa ne rentre pas ds la garantie on va vous facturer le déplacement,bien déplorable pour un pb qu'ils n'ont jamais su réparer et comme par hasard il arrive à la fin de la garantie on me dis pas réparable, produit que j'ai quand même payer 350 euros , cela es inadmissible.",2023-01-25T21:06:50.000Z,"Bonjour Graziella,",2023-02-03T16:03:45.000Z
29,Site à éviter,1,"Ouverture de compte sur ce site auchan et premier achat. Le moule à baguettes acheté sur ce site à fini directement à la poubelle car le revêtement antiadhésif de ce produit s'incorpore au pain (c'est très visible). Plusieurs personnes qui ont acheté le même produit confirment mes dires car... même mauvaise surprise. Ce site me demande mon avis, mais refuse de le publier (2 fois avis refusé) prétextant que... 
Peu importe, les avis ici prouve bien que si vous avez du temps et de l'argent à perdre Auchan est le site qu'il vous faut. 
Je ne vais même pas tenter un remboursement qui n'arrivera de toute façon jamais. Je supprime ce compte illico c'est tout.
Site à éviter bien sùr.
Pour faire réponse à la réaction de auchan:
Héé ben!! Qu'est-ce que ce serait si vous ne faisiez pas le MAXIMUM pour satisfaire le client!?! 
Le même bla bla servi à tous les EX clients qui au final  n'ont que Trustpilot pour faire part leur déception. 
A les lire, c'est tout juste si je n'dois pas leur fournir mes papiers... :o((",2023-03-03T13:43:34.000Z,"Bonsoir,",2023-02-25T18:16:23.000Z
30,J'ai acheté un téléphone qui ne…,1,"J'ai acheté un téléphone qui ne marchait plus au bout de 2jours quand je suis retourné au magasin on m'a affirmé qu'il fallait envoyé au SAV aujourd'hui ça fait 10jours.
Je n'ai pas de téléphone et pas de remboursement. C'est inadmissible de se moquer des clients. Je n'irai plus dans ce magasin.",2023-01-21T16:08:15.000Z,Bonjour Karine.,2023-02-03T15:45:02.000Z
31,Franchement déçu de auchan ma…,1,Franchement déçu de auchan ma grand-mère à acheté un lisseur et en le déballant ce n'était pas ce qu'elle voulait je l'est ramener et on m'a dit désolé on ne peut rien faire car le cerclage et enlevé sérieux voilà pourquoi je commande sur d'autre site car auchan cela devient n'importe quoi pfff elle doit garder ce liseur qu'il va finir à la poubelle heureusement qu'il y a d'autre site sérieux,2023-01-15T16:55:58.000Z,"Bonjour,",2023-02-03T15:24:01.000Z
32,Aujourd'hui,1,"Aujourd'hui ,  je suis allée a la pompe gasoil special handicapé.  Le surveillant me dit elle marche pas , je recule vais du coup attendre a une autre pompe et le surveillant remet en suivant en marche la pompe , alors que si il mavait attendre 2 minutes jaurai attendu au lieu de me dire de partir, de ce fait jai attendu apres 2 voitures avant de me servire avec mon fils handicapé  , suis tres mécontente !!",2023-01-14T15:19:53.000Z,"Bonjour Fabienne,",2023-02-03T15:18:04.000Z
33,Accueil désagréable,2,"Le personnel est désagréable au Auchan supermarché de BALLAN MIRE.
Personnels qui te prend de haut, il y a une façon de parler.
 ce n'ai plus ce que c'était.
Pas prête d'y remettre les pied.
Je ne vais pas vous envoyer du monde si vous continuez a prendre les gens pour des moins que rien.",2023-01-19T18:23:09.000Z,"Bonjour charlotte,",2023-02-03T15:39:03.000Z
34,A fuiiiir,1,"Si je pouvais mettere 0 étoile je l'aurais fait.
Encore une mauvaise expérience avec auchan.fr dernière fois que je commande la bas. Ma commande devez être livrer le 27 décembre à se jour je n'est toujours rien reçu. Ma commande été en cour de livraison il son décidé d'annuler sans ma demande ma commande.
Cest du n'importe quoi pls jamais je commande chez eux, a fuire.",2023-01-14T10:28:06.000Z,"Bonjour, ",2023-02-03T15:02:16.000Z
35,Service client au téléphone déplorable,1,Service client au téléphone déplorable. Contact avec un monsieur impatient limite incorrect qui hausse le ton. C est très dommageable pour cette entreprise qui perd à cause de cette personne sa légitimité en tant que service client efficace et bienveillant à l égard de ses clients. Tout le contraire de ce qu il est annoncé sur le site. Il serait intéressant de ré écouter la conversation...,2023-01-12T12:03:08.000Z,"Bonjour Juliette,",2023-02-03T13:44:32.000Z
36,Apple / erreur,1,j'ai acheté un ordinateur Apple en promotion ; 4 ports et un clavier a reconnaissance digitale sur les photos. J'ai reçu le modèle inférieur avec 2 ports et un clavier traditionnel. Il y a 220 euros de différence entre les 2 produits. J'a appelé des dizaines de fois et j'ai envoyé par email toutes les pièces utiles depuis plus d'un mois. Le service web fait trainer et manque de sérieux. Je vais être obligé de faire appel au conciliateur ou la justice.,2023-01-11T11:52:10.000Z,"Bonjour Julien, ",2023-02-03T13:42:16.000Z
37,j'ai acheté un jouet à la mi novembre…,1,"j'ai acheté un jouet à la mi novembre avant l'envoie j'ai appelé auchan pour demander l'annulation mais ils m'ont dit qu'ils n'avaient plus la possibilité de l'annuler je devais simplement refusé la livraison, ce que j'ai fait. J'ai dû téléphoner plusieurs fois sans jamais obtenir de réponse claire sur la date du remboursement, rejetant la faute au vendeur. J'ai fini par recevoir au bout d'un mois et demi le remboursement sans aucune excuse ni compensation",2023-01-09T04:11:39.000Z,"Bonjour Anoko,",2023-02-03T13:33:03.000Z
38,Fuire les collabos Auchan et Leroy Merlin,1,"pour faire suite à votre réponse effectivement vous l'avez démenti comme la Russie dément les actes de cruauté et de barbarie de Bakmout .
Si bien que comme la Russie dans ses actes odieusement criminels et d'une perversité sans limite de même vous n'avez apporté aucune preuve à vous dire que ce soit pour Auchan ou Leroy Merlin qui d'ailleurs n'a pas démenti avoir fait des copies d'objets d'artiste à leur insu en Chine.
Dans ses actes et dans vos paroles votre attitude pervers ne fait que ressortir je vous laisse donc à vos préjugés pécuniairement misérables.

---------------------------------On savait déjà que Auchan et Leroy Merlin n'ont aucun état d'âme tant qu'il y a du profit .
Il faut boycotter ces deux magasins de toute urgence c'est la honte des collabos qui reviennent sans force de caractère et sans état d'esprit intègre l'argent et roi et même si des milliers d'hommes de femmes et enfants meurent dans des conditions de communauté hors du commun ces sociétés par leur attitude malsaine participativement à la guerre contre nous-mêmes.
Alors si vous avez encore quelques notions sensibilité et quelques neurones de réduction aller faire vos courses ailleurs ce n'est pas les magasins qui manquent",2023-02-28T15:56:40.000Z,"Bonjour,",2023-02-25T18:28:02.000Z
39,Incompétent,2,"Bonjour,
Je trouve que les hôtesses de caisses sont de plus en plus incompétentes.
Moi qui ai travaillé en tant qu’étudiante en tant qu’hôtesse de caisse chez une autre enseigne. Lorsqu’un code barre ne fonctionnait pas on se débrouiller pour demander le bon code barre au collègue de rayon. Déjà 2 fois lorsque le code barre ne passe pas on nous dis  qu’elle peut rien faire?!!! A quoi sert le téléphone ? 
Du coup, je pars sans mon article et passer chez une autre enseigne ou un autre jour pour acheter le produit!!!",2023-01-09T21:20:04.000Z,"Bonjour,",2023-02-03T13:38:04.000Z
40,Moules : comment peut-on vendre des moules dites de qualité : 3 kgs et vraiment 300 gr. Desséchées et françaises.,1,"Vendre des moules françaises de cette qualité, c'est une injure aux bons producteurs : desséchées et minuscules... 
Dans 3kgs, réellement  300 grammes6 de matière consommable.
A revoir au plus vite....",2023-01-26T21:42:46.000Z,"Bonsoir Bernard,",2023-02-03T16:05:40.000Z
41,SAV Service ou Sévices,1,"Téléviseur sous garantie qui présente une panne...
1heure 30 pour monter le dossier : numérisation du bon de commande, du ticket de caisse et de la photo de l'écran ... 
Résultat : vous recevez un sms qui vous dit de contacter le constructeur .
 En bref et pour rester poli : ""débrouillez vous"".
Le SAV n'est donc pas un service.
Cette fois, car il s'agit de la seconde mauvaise expérience (vente d'une extension de garantie qui en fait n'en était pas une) je ferme mon compte lié à la carte de paiement.
Auchan c'est terminé pour moi.",2023-01-10T15:09:07.000Z,"Bonjour Maurice, ",2023-02-03T13:39:58.000Z
42,machine a laver acheté  a Auchan…,1,"Jai acheté une machine a laver a auchan , la machine fuit par le bas après deux lavage très déçu et énerver, surtout apres le passage d'un technicien catastrophique, loin d’être un professionnelle, pour lui c'est de ma faute si la machine fuit et me traite de monteur malgré les vidéos de la fuite.
très déçu de mon expérience achat chez Auchan , plus jamais chez eux .",2023-01-05T12:21:20.000Z,"Bonjour Ramzi,",2023-01-30T19:30:59.000Z
43,A ignorer,1,"Cher, magasins déprimants, soutien à Poutine... Il y a plein de bonnes raisons de zapper cette enseigne.",2023-02-17T09:37:42.000Z,"Bonjour Thibault,",2023-02-25T18:25:35.000Z
44,Fermeture avant l heure annoncée,1,"A mon arrivée à 12h35 a auchan brives charensac, le mr de la sécu, me dit que c est fermé,  je lui demande à quelle heure ferment les portes, il me répond que les portes automatiques du magasin ferment à 12h45, le temps que les clients partent. 
Jusque là,  ok, mais je lui montre la pendule du magasin indiquant 12h35, les portes étant fermées, il me répond juste, c est fermé ac 10 minutes d'avance.
Je suis très déçue de cette politique, du coup ben pas bon avis sur ce magasin et la politique qu il mene",2023-01-08T13:57:18.000Z,"Bonsoir Delphine,",2023-01-30T20:02:40.000Z
45,clients soupçonnés,1,"Passage aux caisses où les clients font le travail de scanner leurs achats afin de supprimer des postes de caissières. Je veux règler le total et impossiblité ? Une hôtesse arrive et me dit qu'il faut re-scanner le tout, ce qu'elle fait. Cela s'apparente à un contrôle destiné à vérifier si le client n'a pas oublié quelque chose, ou plutôt s'il est malhonnête. Bravo Auchan, non seulement ils font bosser les clients mais ils les soupçonnent de vol. Non seulement je ne passerai plus à ces caisses mais je n'irai plus dans cette enseigne déjà décriée pour son maintien dans un pays agressif.",2023-01-14T09:12:26.000Z,"Bonjour,",2023-02-06T14:34:04.000Z
46,Scanette caisse rapide…,4,"D'ordinaire je suis plutôt satisfaite de mon magasin Auchan Laxou mais hier, j'ai été assez surprise de devoir porter le bidon de 10 litres de pétrole et le chauffage à pétrole pour le passer en caisse rapide alors qu'une scanette est prévue pour nous éviter le tour de rein. Sauf qu'elle est inutilisable et je trouve cela inadmissible. Donc, à quoi sert-elle ?",2023-01-03T05:46:49.000Z,,
47,Auchan: Commande jamais honorée,1,"Une commande pourtant simple, jamais honorée. La commande devait être réceptionnée dans une relais Auchan. 2 mois après le colis est sans doute perdu. Une commande pour rien puisque Auchan n'est pas capable de l'honorer. Une mention spéciale au transporteur associé: Mondialrelay qui s'illustre par son incompétence et une nullité incroyable.",2023-01-02T20:14:42.000Z,,
48,"E-carte cadeau jamais reçu, carte bancaire débitée ! FUYEZ !",1,"J'ai voulu commander une carte-cadeau Auchan sur leur site internet.
Ma carte bancaire a été débité mais je n'ai jamais reçu la carte cadeau, j'ai contacté le SAV carte cadeau par mail, mais ils me baladent de mail en mail.
Je ne récupérerais jamais mon argent !
Un conseil : FUYEZ cette enseigne !",2023-01-07T04:28:57.000Z,"Bonsoir Fred,",2023-01-30T19:36:03.000Z
49,Entre 20 et 30 min d'attente aux…,1,Entre 20 et 30 min d'attente aux caisses depuis plusieurs jours et aujourd'hui c'est le pompom . Au bout 20 min un cadre vient nous signifier que la caisse ferme deux clients AVANT nous Lol lol lol .Pas prêt de retourner dans votre fichu magasin. (Auchan Epagny Annecy ),2023-01-09T17:23:58.000Z,"Bonjour Livernois,",2023-02-03T13:35:49.000Z
50,Ne livre que la moitié et ne prends pas en compte les demandes des clients,1,"J'ai passé une commande sur Auchan le 10 décembre 2022, 36 verres pour le repas de noël, je n'ai reçu que la moitié de mon service le 23 décembre, j'ai téléphoné ils sont désolés mais promis le reste de votre commande sera livré le 27 décembre, ne voyant rien venir je les contacte le 28 décembre "" le colis est en cours de préparation"" c'est honteux à fuir",2022-12-28T19:18:33.000Z,,
51,Aucun professionnalisme,1,"Je suis mécontente !
Je téléphone à auchan pour demander de faire un retour, je tombe sur ""conseillère"" qui m'explique mais en parlant très vite
Je lui dit que je n'ai rien compris à ce qu'elle disait car elle allait trop vite comme si lisait ou elle récitait du par cœur.
Elle me raccroche au nez 
Je suis choquée !
NE VOUS ÉTONNEZ PAS SI ON VA CHEZ LE CONCURRENT",2022-12-28T09:25:23.000Z,,
52,Déçue par cette enseigne,2,"Ayant un magasin Auchan près de chez moi où je peux aller sans prendre ma voiture,je vais donc souvent dans cette enseigne.
Je n'ai jamais de bons de réduction malgré mes nombreux achats.
C'est hors de prix et il est quasi IMPOSSIBLE de mettre des points sur la carte de fidélité.
Et le jeux de Noël est une grosse arnaque.
Donc je prends de plus en plus ma voiture pour aller à Carrefour qui se trouve à quelques kms de mon domicile.
Et là j accumule des points fidélité !",2022-12-29T13:07:33.000Z,,
53,Auchan est comme les autres…,4,"Auchan est comme les autres hypermarchés  ni mieux ni pire,  mais pendant la période de Noël un jeu à été mis en place avec un ticket remis en cause après avoir faut vos courses,  sauf que le jeu bugs hyper souvent. J'ai eu une dizaine de ticket jeu et aucun n'est passé motif ticket invalide. Pas trop content 😡",2022-12-30T20:17:53.000Z,,
54,BRAVO A AUCHAN POUR L ATTENTION PORTE AU CLIENT,5,"Ultra commerçant car hier j'aborde un patissier pour lui demander s'il ne reste pas en stock un grand fraisier (le dessert préféré de moi et de mes invités). Et bien il m'en a fait un en 15 minutes seulement pour montrer que chez AUCHAN l'envie de faire plaisir au client est réelle. Un grand merci pour ce beau geste , je reviendrai souvent dans ce rayon vu que la patisserie est excellente. Bravo !",2022-12-24T16:05:33.000Z,,
55,Plus jamais auchan,1,"Plus jamais auchan, leroy merlin, décathlon et tout ce qui a un lien avec cette famille.",2023-02-18T12:25:28.000Z,"Bonjour,",2023-02-25T18:28:27.000Z
56,smartphone acheté chez auchan pour ne…,1,"smartphone acheté chez auchan pour ne pas l'acheter en ligne et avoir un vrai SAV physique ! apres  3 semaines de galeres et reinstallation complete du telephone, je constate que le probleme vient de la puce wifi, je retourne chez auchan qui me dit qu'il n'y a plus de SAV, maintenant c'est en ligne que ça se passe et je dois envoyer le téléphone etc, c'est insupportable",2022-12-19T16:20:13.000Z,"Bonsoir,",2022-12-20T21:56:55.000Z
57,Auchan sav nul à chié,1,"J'ai voulu renvoyer ma trottinette au sav au relais colis qui se trouve vers chez moi et une fois  sur place on me refuse de prendre en Charge pour cause colis trop grand et lourd en plus je le porte dans mes bras !  De relais en relais !!!! A pied en plus mer-de !!!  Auchan sav est vraiment pourri et nul car il devrait être au courant pour ce type de problème.
Je vous déconseille d'acheter chez auchan si vous voulez pas,d'ennui au sav!",2022-12-19T19:42:56.000Z,"Bonsoir Trony,",2022-12-20T21:58:37.000Z
